Frequência (Hz);Magnitude (Ω);Fase (°);Re{H};Im{H};|H|;Fase H (°)
100,0;1399,562682;-83,3;1,0885867315043987;-9,266697186345104;9,330417879999999;-83,3
160,0;878,3468964;-79,7;1,047002471445939;-5,761282463222151;5,855645976000001;-79,7
250,0;575,4525008;-74,6;1,0187662127368193;-3,698607409175371;3,836350005333334;-74,6
400,0;379,07219;-66,4;1,0117412302381565;-2,3157841781969064;2,527147933333334;-66,4
630,0;267,1656889;-55,7;1,0036988338500092;-1,4713674663205059;1,7811045926666667;-55,70000000000001
1000,0;204,7600529;-42,8;1,0015904391327923;-0,9274829160202207;1,3650670193333334;-42,79999999999999
1590,0;173,5198997;-31,1;0,9905291909084025;-0,597525409444312;1,1567993313333333;-31,099999999999994
2500,0;159,5096492;-20,7;0,9947489946927075;-0,37588432221502743;1,0633976613333334;-20,700000000000003
3990,0;153,2987225;-13,5;0,9937537772959367;-0,23857917368438647;1,0219914833333335;-13,5
6335,0;150,7371924;-8,8;0,9930851444616641;-0,153737702922813;1,004914616;-8,8
10015,0;149,6691386;-5,6;0,9930321844426556;-0,09736765699361366;0,9977942573333335;-5,6
15874,0;149,2333901;-3,7;0,9928155383232985;-0,0642025008771142;0,9948892673333334;-3,700000000000001
25500,0;153,4814646;-2,6;1,0221564409585029;-0,04641585237806857;1,0232097640000002;-2,6
39880,0;149,0193856;-1,7;0,9930253081694169;-0,02947230311081893;0,9934625706666665;-1,7000000000000004
63210,0;148,9391796;-1,3;0,9926722936245733;-0,022526885664277282;0,992927864;-1,3
99641,0;148,948915;-1,1;0,9928097701364751;-0,01906292144139182;0,9929927666666667;-1,1000000000000003
158800,0;149,0165046;-1,8;0,9929531596698015;-0,031204810164369306;0,9934433640000001;-1,7999999999999998
